DC_Identifier_LocalID,DC_Title,DC_Creator,DC_Description,DC_Format,permalink,ID_again,City,lat,lon,DC_Date
11,Hat with peacock feathers,"Bartosz, Adam, Mrs., b. 1905?",Polish folk song| The peasant boys dancing wear peacock feathers in their hats. This song is a warning to be careful not to break the feathers.,Sound recording,https://digital.library.wisc.edu/1711.dl/7JJUMQJT6SJWO8F,11,"Stevens Point, WI, USA",44.51956,-89.573683,7/23/1941
12,Calling Jesus in glory,Oneida Indians of the Oneida Methodist and Episcopal Churches,Religious - Oneida| This is a favorite tune at the wakes.| [Title is a translation],Sound recording,https://digital.library.wisc.edu/1711.dl/XU4RYLBFXULD69B,12,"Oneida, WI, USA",44.475504,-88.243735,9/1/1946
13,About a young man who was looking for a job,"Beck, Anton de, b. 1866?","Belgian| These Belgians do not write their language - a Walloon dialect. Mr. Louis Ropson gave the translations.| This song is about a young man who was looking for a job. He got a job fixing shoes. There were three girls, and they gave him one. He didn't want to marry her now because he had a voyage to make. He would marry her when he came back.",Sound recording,https://digital.library.wisc.edu/1711.dl/UIKD4ABUQLB3L8H,13,"Dyckesville, WI, USA",44.637035,-87.767163,8/31/1946
14,About a young man who went away,"Ropson, Theuphiel, b. 1871?","Belgian| This song is about a young man who went away, and when he passed by his sweetheart he saluted her and asked forgiveness. He went to the town of Villevort and there they gave him black bread and water. It's easy to see that the town of Villevort is hard.| [2 perfomances]",Sound recording,https://digital.library.wisc.edu/1711.dl/QAWOOWKX3EYPT8O,14,"Dyckesville, WI, USA",44.637035,-87.767163,8/31/1946
15,About a young man who went to war,"Beck, Anton de, b. 1866?","Belgian| A young man went to war in France. When he came home, he asked for lodging from his mother. She received him politely, but she did not recognize him. When she knew it was he, she was satisfied and said, ""My loving son."" He said that all the boys of the village should go to war as he had, against the enemy, and recieve the star.",Sound recording,https://digital.library.wisc.edu/1711.dl/U4HZACVKJ7GFX87,15,"Dyckesville, WI, USA",44.637035,-87.767163,8/31/1946
16,About a young girl who lost her boy friend,"Ropson, Theuphiel, b. 1871?","Belgian| This song is about a young girl who lost her boy friend (she was 15 years old). She dressed herself cocky, and went up to see the captain. The captain says she hasn't got the whiskers, and that he couldn't hire her out, but she volunteers. When he heard her he handed her a suit, and off she went to meet her boy friend. When she met him she said, ""Stop. You are holding my heart; we must fight it out."" She stuck her boy friend, and the blood flowed. The authorities handcuffed her, and called ""Cockles."" But she said, ""I'm not a cockle. I'm the major's child. My boy friend wants to fool me, but I played him a trick!""",Sound recording,https://digital.library.wisc.edu/1711.dl/OCJEWR4JPISPL8T,16,"Dyckesville, WI, USA",44.637035,-87.767163,8/31/1946
17,"'Ark, 'ark the 'eavenly angels sing","Persons, John, b. 1859?","Cornish| A favorite carol around Dodgeville, this is all Mr. Persons could remember. This was probably one of the Redruth-Camborne part carols.",Sound recording,https://digital.library.wisc.edu/1711.dl/MH7QFPEBMIWIV8X,17,"Madison, WI, USA",43.081309,-89.395609,8/2/1946
18,2nd medicine song,"Blow Snake, Chief, b. 1871?","Winnebago| A medicine lodge has its degrees, and deals with spiritual as well as physical matters. The song says: ""You have talked about me, but upon this earth I stand with a clear conscience, with my eyes upon the Creator."" His maternal grandmother was of this profession. She tells how that herb was created by the Creator for that particular disease while she prepares the medicine.",Sound recording,https://digital.library.wisc.edu/1711.dl/N6A3PWXE44LQE9D,18,"Wisconsin Dells, WI, USA",43.628055,-89.771693,7/23/1946
19,4-step schottishe and a 2-step schottishe,"Brusoe, Leizime, b. 1870?",Old time fiddler tunes,Sound recording,https://digital.library.wisc.edu/1711.dl/53XZY3CRNQ4P78C,19,"Rhinelander, WI, USA",45.644155,-89.400934,8/31/1940
20,A lumbering we will go,"Moody, Lewis Winfield, b. 1865?",Lumberjack song,Sound recording,https://digital.library.wisc.edu/1711.dl/MYQMKLIK6QOTM8H,20,"Plainfield, WI, USA",44.213709,-89.494963,8/27/1940
21,A witajze,"Pokora, Stasia","Polish| This song is about a girl who resists marrying an old man with money. Her Martin finally returns, and she is happy.",Sound recording,https://digital.library.wisc.edu/1711.dl/QHJROR6EBRQHV86,21,"Milwaukee, WI, USA",43.063146,-87.948334,8/29/1946
22,Aa kjoyra vatten aa knoyra ve,"Lothe, Brithe, b. 1871?","Norwegian| ""I can haul water, I can haul wood, but I want to haul my own girl.""",Sound recording,https://digital.library.wisc.edu/1711.dl/AM3L7LILM6C3U8L,22,"Milltown, WI, USA",45.526651,-92.499354,8/10/1946
23,"Adieu me mere, je pars pour l'Italie","Belisle, Ernest Joseph, b. 1901?",French-Canadian| Mr. Belisle learned this song from his Grandfather Belisle.| It is a song about a young man who is leaving for the army.,Sound recording,https://digital.library.wisc.edu/1711.dl/ZWHSQX4TM6WNG8V,23,"Somerset, WI, USA",45.130029,-92.676858,8/8/1946
24,Aftensang,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass",Norwegian folk instrument,Sound recording,https://digital.library.wisc.edu/1711.dl/IGFJV2PYIPOUZ8Q,24,"Madison, WI, USA",43.081309,-89.395609,5/16/1941
25,After the ball,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).| This was recorded at Mr. Brusoe's insistance.,Sound recording,https://digital.library.wisc.edu/1711.dl/FJVT5G42CPHOW8D,25,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
26,"Ah, si mon maine voulait danser","Starr, Morton Hull, Mrs.",Canadian French| Play song,Sound recording,https://digital.library.wisc.edu/1711.dl/RB6BVRO5QAE7V8D,26,"Waukesha, WI, USA",43.02433,-88.244537,8/28/1946
27,Ai am fy meiau i,Cymanfa Ganu Congregation,"Welsh hymn| Tune: Penpark (J.T. Rees, Mus. Doc.)| See C̢n a mawl #214.",Sound recording,https://digital.library.wisc.edu/1711.dl/TMCZ7BINC4KS68E,27,"Pickett, WI, USA",43.911389,-88.729722,8/25/1940
28,Aime moi bien,"La Grandeur, Donalda, b. 1894?","French-Canadian| Miss LaGrandeur learned this song from her mother, who was born in Quebec. She cannot recall all the words.| ""Aime moi bien, ton amour me fait vivre| Comme l'abeille au calice des fleurs| Ton doux regard, ton souffle qui m'anime| Cesse la la vie, cesse la touts les douleurs| Hmmmmmmm| Aime moi bien ton amour me fait vivre| Cesse, la, la vie, cesse la touts les douleurs.""",Sound recording,https://digital.library.wisc.edu/1711.dl/E7XK7OVDLUHGN8S,28,"Somerset, WI, USA",45.130029,-92.676858,8/8/1946
29,Alec Brown,"Moody, Lewis Winfield, b. 1865?",Vulgar,Sound recording,https://digital.library.wisc.edu/1711.dl/GGBMVPIQICDHB8E,29,"Plainfield, WI, USA",44.213709,-89.494963,7/21/1941
30,All together,"Lobdell, Hamilton, b. 1854?",A song which used to be sung at the School Section picnics.,Sound recording,https://digital.library.wisc.edu/1711.dl/YZJFSM436O5OI87,30,"Mukwonago, WI, USA",42.862336,-88.323693,6/24/1941
31,Alphabet song,"Moody, Lewis Winfield, b. 1865?",Vulgar,Sound recording,https://digital.library.wisc.edu/1711.dl/DJUVPXU3TEIGW8W,31,"Plainfield, WI, USA",44.213709,-89.494963,7/21/1941
32,Alte Uhr,"Huber, Hans, b. 1901?",Bavarian,Sound recording,https://digital.library.wisc.edu/1711.dl/6AEEG5YMI24H38K,32,"Madison, WI, USA",43.081309,-89.395609,9/4/1946
33,Andulko,"Perry, Frances",Bohemian folksong,Sound recording,https://digital.library.wisc.edu/1711.dl/T4SLQ2MZTSWJX84,33,"Black River Falls, WI, USA",44.300723,-90.843263,8/14/1946
34,An einem Fluss daraus an Schuss,"Steinbach, Martha, b. 1890?","German folk song| She learned the song when nine years old from her mother, who was born in Germany. She says the song is about 500 years old. She has never heard anyone else sing it. Great grandmother had been an ""Amme"" - nursemaid - who learned the song from her grandmother. Mrs. Steinbach's mother asked that she never let it die because it had been passed on from generation to generation. It is the story of an orphan child and a rich man who befriended her.",Sound recording,https://digital.library.wisc.edu/1711.dl/XQYBN6RJXEVFO85,34,"Wausau, WI, USA",44.963482,-89.639884,8/12/1941
35,Ar ̫l gofidiau,"Reese, William, b. 1858?| Phillips, Selina, b. 1875?","Tune - Y nefoedd (J. Mainzer), see C̢n a mawl #244.",Sound recording,https://digital.library.wisc.edu/1711.dl/7ZWKNWWYTXXRA9C,35,"Dodgeville, WI, USA",42.964713,-90.130774,8/19/1940
36,As I went out walking one morning in spring,"Moody, Lewis Winfield, b. 1865?",Vulgar,Sound recording,https://digital.library.wisc.edu/1711.dl/F6R6UP5RQ2WHS83,36,"Plainfield, WI, USA",44.213709,-89.494963,7/21/1941
37,As long as the stomach fits into the vest,"Taschek, Louis, b. 1897?","Austrian| ""As long as the stomach fits into the vest, no work will be started. Raise high the wine, the fatherland should live.| Laura, Laura, when I see you, my heart goes like the fishes in the brook -""",Sound recording,https://digital.library.wisc.edu/1711.dl/4K2S5VW6KTEPI84,37,"Darlington, WI, USA",42.682928,-90.115182,8/22/1946
38,As uz jury,"Aldakauskas, Mary| Hidde, Walter, Mrs.",Lithuanian,Sound recording,https://digital.library.wisc.edu/1711.dl/OXKTQD667YLCI8C,38,"Sheboygan, WI, USA",43.756279,-87.723689,8/30/1946
39,As Willie and Mary strolled by the seaside,"Brown, Noble B., b. 1885?","English| Mr. Brown learned this song from his mother.| An additional verse not on the record is:| ""Oh do not despair, precious Mary,"" he said| As he clasped the fair maid in his arms.| To the church he repaired, it was not far away,| Was enriched by the loyal maid's charms.",Sound recording,https://digital.library.wisc.edu/1711.dl/VAPWNLUMQKFYP8I,39,"Millville, WI, USA",43.01865,-90.93917,11/17/1946
40,"Astri, mi Astri","Everson, Alice, b. 1891?",Norwegian| Astri is the name of a girl.,Sound recording,https://digital.library.wisc.edu/1711.dl/VCHDQNIS6ULP28I,40,"Blair, WI, USA",44.296263,-91.225443,8/16/1946
41,Auguste tu n'est pas juste,"Maes, Desire, b. 1873?","Comic French folk song| About a wife complaining that there has been considerable change in his love-making since their first night, that he pays too much attention to his business and not enough to her.",Sound recording,https://digital.library.wisc.edu/1711.dl/N6BHAMBXQKU4G8Y,41,"Green Bay, WI, USA",44.517447,-87.954553,8/3/1941
42,Avondsgedachten,"Scholten, A. C. G. Gysbers, Mrs.","Dutch folk song| Mrs. Scholten learned this when a child in singing school in Winterswyk, Holland.",Sound recording,https://digital.library.wisc.edu/1711.dl/GCPK3OVI34TG68R,42,"Oostburg, WI, USA",43.623074,-87.789119,8/22/1940
43,"Awake, arise, you drowsy sleeper","Coffee, Lester A., b. 1871?",This is another old song that Mr. Coffee learned as a small boy.,Sound recording,https://digital.library.wisc.edu/1711.dl/CSYOUNKL4GYMU8C,43,"Harvard, IL, USA",42.420737,-88.613519,8/20/1946
44,Baggage coach ahead,"Gordon, Bessie, b. 1901?",Sentimental ballad| Learned the song from her mother. Mrs. Gordon runs a crossroads tavern about eight feet square. She sings for her patrons and accompanies herself on a reed organ which she had cut down to fit under the bar.,Sound recording,https://digital.library.wisc.edu/1711.dl/QHTUZKYNZ6CPG8X,44,"Schofield, WI, USA",44.918498,-89.609749,8/13/1941
45,Banks of the Old Mohawk,"Coffee, Lester A., b. 1871?",New England ballad,Sound recording,https://digital.library.wisc.edu/1711.dl/GWXLEVINIE4BX8Q,45,"Harvard, IL, USA",42.420737,-88.613519,8/20/1946
46,Barbara polka,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion","Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).| [2 performances]: 1st cutting (fade out), good recording except polka was too long for space on record.",Sound recording,https://digital.library.wisc.edu/1711.dl/OUWAXHVXSXR6E8I,46,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
47,Barker's call (recitation),"Lobdell, Hamilton, b. 1854?",none,Sound recording,https://digital.library.wisc.edu/1711.dl/TY46VZTIWR57E8V,47,"Mukwonago, WI, USA",42.862336,-88.323693,6/24/1941
48,Baruska,"Yansky, Joe",Bohemian polka| Accordion and drums. One man band.,Sound recording,https://digital.library.wisc.edu/1711.dl/GT4ZHP4R6Z2DR8J,48,"Yuba, WI, USA",43.535455,-90.426785,8/25/1946
49,Be with us forever,"Stacy, Stella: Vocals| Oestreich, Nancy: Announcer","Peyote religious song| ""Be with us forever, don't ever let us go astray, take me into eternal life.""",Sound recording,https://digital.library.wisc.edu/1711.dl/ZWFLDSSZ3QT4J8O,49,"Black River Falls, WI, USA",44.300723,-90.843263,8/15/1946
50,Beneath the linden tree (I saw my gentle mother),"Borusky, Pearl Jacobs, b. 1901?",Kentucky folk song,Sound recording,https://digital.library.wisc.edu/1711.dl/OUJ37W5Y2VHGY8A,50,"Pearson, WI, USA",45.364167,-89.016389,7/26/1941
51,Big brick house in a Georgia town,"Moody, Lewis Winfield, b. 1865?",Vulgar!!!!!!,Sound recording,https://digital.library.wisc.edu/1711.dl/4MPMRRYW5V7YT8Z,51,"Plainfield, WI, USA",44.213709,-89.494963,7/21/1941
52,Billy Vanero,"Royce, Luther, b. 1913?","Cowboy song| [This song is] from a collection ""on old pieces of paper in hand writin'"" from his grandmother.",Sound recording,https://digital.library.wisc.edu/1711.dl/N7TF7ZO6TWCQW8V,52,"White Lake, WI, USA",45.160727,-88.772136,8/1/1941
53,Birdies' ball,"Fowler, James H., Mrs., b. 1872?",American| This song is at least 100 years old. Mrs. Fowler's father sang it to her as a lullaby when she was a baby.,Sound recording,https://digital.library.wisc.edu/1711.dl/AJBH4CEGRXQCG8N,53,"Lancaster, WI, USA",42.846347,-90.707772,8/23/1946
54,Black sheep,"Steinbach, Robert A., b. 1887?","Miscellaneous song| Biog. Worked in the woods eight years, Eau Claire River.",Sound recording,https://digital.library.wisc.edu/1711.dl/FZMDK3NWFYP768S,54,"Wausau, WI, USA",44.963482,-89.639884,7/25/1941
55,Blushing rose,"Whitt, Myrth, b. 1902?",Love song| Heard this song by relatives of her husband in Kentucky. Her first and only sweetheart sang it to her when she was sixteen. It was never heard anywhere else.,Sound recording,https://digital.library.wisc.edu/1711.dl/C3OHLSBOKGCZK8L,55,"Crandon, WI, USA",45.568712,-88.897293,7/28/1941
56,Bob goes a gunning,"Moody, Lewis Winfield, b. 1865?",Vulgar!!!,Sound recording,https://digital.library.wisc.edu/1711.dl/TUTD56MSP7Y4J86,56,"Plainfield, WI, USA",44.213709,-89.494963,7/1/1941
57,Bohemul,"Bohemian Band| Stanek, Otto: Clarinet| Stanek, Wencil: Clarinet| McGilvery, George: Cornet| Tydrich, William: Cornet| Stanek, Anto Horn| Rott, Nick: Trombone| Rott, Marti Baritone| Stanek, Alfred: Tuba","Funeral march| Bohemian| The band would precede the hearse at the funeral, marching from the church to the cemetery.| This is one of the numbers played by the band for the funeral of the uncle of one of the band members, Martin Rott, in 1932. The band marched for a mile and a half.",Sound recording,https://digital.library.wisc.edu/1711.dl/YHKTVNH7L4QU78J,57,"Yuba, WI, USA",43.535455,-90.426785,8/25/1946
58,Bokje,"Fennema, Andrew, Sr.","Holland Dutch| Father bought a goat and started down the street. The police took the goat away. He called after the goat, ""Bokje, bokje,"" and the goat replied, ""Ba, ba, ba.""",Sound recording,https://digital.library.wisc.edu/1711.dl/ISCMDS2YV2E6Z9C,58,"Kenosha, WI, USA",42.584327,-87.841871,8/28/1946
59,Bold McIntyres,"Moseley, Arthur (Happy), b. 1864?",Wisconsin folk song| Mr. Moseley said he knew the McIntyre family.,Sound recording,https://digital.library.wisc.edu/1711.dl/EHDCTQYFNY5AR9E,59,"Black River Falls, WI, USA",44.300723,-90.843263,9/5/1940
60,"Bon soir, mes amis","La Grandeur, Donalda, b. 1894?",Canadian French,Sound recording,https://digital.library.wisc.edu/1711.dl/RIQYMNL52LHGF9D,60,"Somerset, WI, USA",45.130029,-92.676858,8/9/1946
61,Boring for oil,"Moody, Lewis Winfield, b. 1865?",Vulgar ballad,Sound recording,https://digital.library.wisc.edu/1711.dl/J7G5SVHXEPAC58U,61,"Plainfield, WI, USA",44.213709,-89.494963,8/27/1940
62,Bos ty jedyny,"Pokora, Stasia",Polish,Sound recording,https://digital.library.wisc.edu/1711.dl/X3RENUZER6RWF8Z,62,"Milwaukee, WI, USA",43.063146,-87.948334,8/29/1946
63,Brave boys,"Bundy, Winifred, b. 1884?","A Civil War ballad| ""When I was around 8 years old,"" said Miss Bundy, ""which you can all realize was a good long time ago, although I am not saying how long, you will notice, I used to accompany my mother at the piano when she sang at the GAR encampments; as, of course, there were no scores of any kind for her songs and the accompaniment had to be made up as we went along. A great favorite of the old boys was the song 'Brave boys' - it certainly made them feel heroic, as I recall it.""",Sound recording,https://digital.library.wisc.edu/1711.dl/5FIBIUWLQDSZS8G,63,"Madison, WI, USA",43.081309,-89.395609,4/29/1941
64,Brennan on the moor,"Morgan, William Jacob, b. 1870?","Irish| This song has lived for 3 generations on this continent. William J. Morgan learned it from his father, James D. Morgan, who came from Manchester, England, when he was 12. James D. Morgan with his own father, first settled in Canada, and came to the U.S. to fight in the Civil War.",Sound recording,https://digital.library.wisc.edu/1711.dl/V5CFHKG7AYATZ8Z,64,"Berlin, WI, USA",43.968582,-88.952344,8/4/1946
65,Broken ring,"Coffee, Lester A., b. 1871?",Sentimental ballad| Mr. Coffee learned this song when he was a very small boy.,Sound recording,https://digital.library.wisc.edu/1711.dl/VUE46D6LKZTUO87,65,"Harvard, IL, USA",42.420737,-88.613519,8/20/1946
66,Two orphans,"Coffee, Lester A., b. 1871?","Sentimental and historical ballad| Mr. Coffee sang this song from a scrap-book of the words of songs that were old when he was young. He has no record of the tune, but simply remembers it.| the chorus, ""Never forget those two orphans,"" is repeated after each verse.",Sound recording,https://digital.library.wisc.edu/1711.dl/32UAWUDC3DYXY8O,66,"Harvard, IL, USA",42.420737,-88.613519,8/20/1946
67,Buck billy goat,"Bowlen, Charley, b. 1873?","Irish brogue - Lumberjack| Mr. Bowlen thinks he is the only man in Wisconsin who knows this song. He sang it in the lumber camps.| He learned it in the woods, from a red-haired Irishman Sandy - when Bowlen was about 17. As Mr. Bowlen remarked, ""She lost the poor damned thing.""",Sound recording,https://digital.library.wisc.edu/1711.dl/VTQRKSVTJUBA79A,67,"Black River Falls, WI, USA",44.300723,-90.843263,8/18/1941
68,Buffalo dance song #1,"Paytiamo, James, b. 1896?",Acoma dialect| From the Tusque Pueblo| James Paytiamo also known as Flaming Arrow,Sound recording,https://digital.library.wisc.edu/1711.dl/V4QREH573DVFC8B,68,"Wisconsin Dells, WI, USA",43.628055,-89.771693,7/31/1946
69,2nd Buffalo dance song #2,"Paytiamo, James, b. 1896?",Acoma dialect| From the Tusque Pueblo| James Paytiamo also known as Flaming Arrow,Sound recording,https://digital.library.wisc.edu/1711.dl/SA7WFB5YPNG2U8L,69,"Wisconsin Dells, WI, USA",43.628055,-89.771693,7/31/1946
70,Buffalo feast song,"Yellow Thunder, Chief, b. 1872?","Winnebago| The Indians seek to understand life, the animals, and the birds, the very stillness, the rustling (of trees). If a beast should speak it would be no wonder to them. (The Virgin birth of Christ would be no more miracle to them than the ordinary birth of a child). The song relates to cooperation of animal life and human life. One understands that one must be sacrificed that the other may survive. In prayer to the great mystery they make these sentiments known.| Chief Thunder says he is taking perhaps more liberty than he should in singing this apart from the ceremony of which it is a feature (a religious ceremony). He sings it so that the song may survive.",Sound recording,https://digital.library.wisc.edu/1711.dl/FDU5CVRSNHMKX85,70,"Wisconsin Dells, WI, USA",43.628055,-89.771693,7/24/1946
71,Buffalo song,"Lewis, Phyllis, b. 1936?",Zuni,Sound recording,https://digital.library.wisc.edu/1711.dl/RSBZC6OU4RO6P9B,71,"Wisconsin Dells, WI, USA",43.628055,-89.771693,7/25/1946
72,Buffalo song with drum,"Lewis, Phyllis, b. 1936?",Zuni| Phyllis sings and plays drum.,Sound recording,https://digital.library.wisc.edu/1711.dl/ZKWRIC74ZWUUV8A,72,"Wisconsin Dells, WI, USA",43.628055,-89.771693,7/25/1946
73,"Bugail ""Hafod y Cwm""","Morgan, Moses, b. 1873?","Welsh folk song| The shepherd tells of his family: his wife, Gwen, and three children. They go to Nghapel Y Graig (stone church) where the scriptures are read. Then they return home.| Mr. Morgan's father didn't think the song was quite finished as it stood, so he added the last verse.",Sound recording,https://digital.library.wisc.edu/1711.dl/FDFONRQPZVO438S,73,"Pickett, WI, USA",43.911389,-88.729722,8/26/1940
74,Burno polka,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).,Sound recording,https://digital.library.wisc.edu/1711.dl/5R5R2K5Z2KPJ386,74,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
75,C'est aujourdhui,"Belisle, Ernest Joseph, b. 1901?",Canadian French,Sound recording,https://digital.library.wisc.edu/1711.dl/A2XA575QYJR2D9E,75,"Somerset, WI, USA",45.130029,-92.676858,8/8/1946
76,C'est dans le petit Quatr̬ume Rang,"Vanasse, Adelord Joseph, b. 1877?","Canadian French| Quatr̬ume Rang is in Deschambeau in Quebec.| A man was asked to be godfather. He had to find a godmother. He hitched up the old horse, but the cart broke down.",Sound recording,https://digital.library.wisc.edu/1711.dl/MV2MWODEJXQWD9B,76,"Somerset, WI, USA",45.130029,-92.676858,8/8/1946
77,Calumet song,"Thunder, Henry| Stacy, Stella",Winnebago| This song is for a contest dance.,Sound recording,https://digital.library.wisc.edu/1711.dl/HJIJOAMRSBX7D83,77,"Black River Falls, WI, USA",44.300723,-90.843263,8/15/1946
79,Canadian errant,"Starr, Morton Hull, Mrs.",Canadian French| The wanderer longs for his old home.,Sound recording,https://digital.library.wisc.edu/1711.dl/VREARWPJGEY6Z8Y,79,"Waukesha, WI, USA",43.02433,-88.244537,8/28/1946
80,Captain Jenks,"Muench, John, b. 1885?",Singing square-dance call| Accordion,Sound recording,https://digital.library.wisc.edu/1711.dl/6FJSMD3AHPWWI8I,80,"Lancaster, WI, USA",42.846347,-90.707772,8/23/1946
81,Catch the sunshine,"Lobdell, Hamilton, b. 1854?",none,Sound recording,https://digital.library.wisc.edu/1711.dl/B5PY54IIOOHZA8S,81,"Mukwonago, WI, USA",42.862336,-88.323693,6/24/1941
82,Cawn esgyn o'r,"Reese,  William, b. 1858?| Phillips, Selina, b. 1875?","Tune - Crugybar (Welsh melody), see C̢n a mawl #243.",Sound recording,https://digital.library.wisc.edu/1711.dl/3UFPRW7S55WMQ8P,82,"Dodgeville, WI, USA",42.964713,-90.130774,8/19/1940
83,Celebrated opera reel,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).,Sound recording,https://digital.library.wisc.edu/1711.dl/KACYDIYSMJTUK8G,83,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
