DC_Identifier_LocalID,DC_Title,DC_Title_Other,DC_Creator,DC_Contributor,DC_Subject,DC_Description,DC_Publisher,DC_Date,DC_Type,DC_Format,DC_Identifier,DC_Identifier_LocalID,DC_Source,DC_Language,DC_Relation,DC_Relation_OtherFormat,DC_Relation_IsPartOf,DC_Relation_HasPart,DC_Coverage,Note,permalink,ID_again,City,lat,lon,status
13,About a young man who was looking for a job,,"Beck, Anton de, b. 1866?","Ropson, Louis: Translator",Belgian| Voice,"Belgian| These Belgians do not write their language - a Walloon dialect. Mr. Louis Ropson gave the translations.| This song is about a young man who was looking for a job. He got a job fixing shoes. There were three girls, and they gave him one. He didn't want to marry her now because he had a voyage to make. He would marry her when he came back.",,8/31/1946,Sound,Sound recording,,,wln,,,,,Spatial: Dykesville (Wis.),,,https://digital.library.wisc.edu/1711.dl/UIKD4ABUQLB3L8H,13,"Dyckesville, WI, USA",44.637035,-87.767163,success
14,About a young man who went away,,"Ropson, Theuphiel, b. 1871?",,Belgian| Voice,"Belgian| This song is about a young man who went away, and when he passed by his sweetheart he saluted her and asked forgiveness. He went to the town of Villevort and there they gave him black bread and water. It's easy to see that the town of Villevort is hard.| [2 perfomances]",,8/31/1946,Sound,Sound recording,,,wln,,,,,Spatial: Dykesville (Wis.),,,https://digital.library.wisc.edu/1711.dl/QAWOOWKX3EYPT8O,14,"Dyckesville, WI, USA",44.637035,-87.767163,success
15,About a young man who went to war,,"Beck, Anton de, b. 1866?",,Belgian| Voice| War,"Belgian| A young man went to war in France. When he came home, he asked for lodging from his mother. She received him politely, but she did not recognize him. When she knew it was he, she was satisfied and said, ""My loving son."" He said that all the boys of the village should go to war as he had, against the enemy, and recieve the star.",,8/31/1946,Sound,Sound recording,,,wln,,,,,Spatial: Dykesville (Wis.),,,https://digital.library.wisc.edu/1711.dl/U4HZACVKJ7GFX87,15,"Dyckesville, WI, USA",44.637035,-87.767163,success
16,About a young girl who lost her boy friend,,"Ropson, Theuphiel, b. 1871?",,Belgian| Voice| Love,"Belgian| This song is about a young girl who lost her boy friend (she was 15 years old). She dressed herself cocky, and went up to see the captain. The captain says she hasn't got the whiskers, and that he couldn't hire her out, but she volunteers. When he heard her he handed her a suit, and off she went to meet her boy friend. When she met him she said, ""Stop. You are holding my heart; we must fight it out."" She stuck her boy friend, and the blood flowed. The authorities handcuffed her, and called ""Cockles."" But she said, ""I'm not a cockle. I'm the major's child. My boy friend wants to fool me, but I played him a trick!""",,8/31/1946,Sound,Sound recording,,,fre,,,,,Spatial: Dykesville (Wis.),,,https://digital.library.wisc.edu/1711.dl/OCJEWR4JPISPL8T,16,"Dyckesville, WI, USA",44.637035,-87.767163,success
17,"'Ark, 'ark the 'eavenly angels sing",,"Persons, John, b. 1859?",,Cornish| Voice,"Cornish| A favorite carol around Dodgeville, this is all Mr. Persons could remember. This was probably one of the Redruth-Camborne part carols.",,8/2/1946,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 67",,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/MH7QFPEBMIWIV8X,17,"Madison, WI, USA",43.081309,-89.395609,success
18,2nd medicine song,,"Blow Snake, Chief, b. 1871?",,Winnebago| Voice and drum| Medicine,"Winnebago| A medicine lodge has its degrees, and deals with spiritual as well as physical matters. The song says: ""You have talked about me, but upon this earth I stand with a clear conscience, with my eyes upon the Creator."" His maternal grandmother was of this profession. She tells how that herb was created by the Creator for that particular disease while she prepares the medicine.",,7/23/1946,Sound,Sound recording,,,sio,,,,,Spatial: Wisconsin Dells (Wis.),,,https://digital.library.wisc.edu/1711.dl/N6A3PWXE44LQE9D,18,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success
19,4-step schottishe and a 2-step schottishe,,"Brusoe, Leizime, b. 1870?",,Violin| Fiddle tune,Old time fiddler tunes,,8/31/1940,Sound,Sound recording,,,,,,,,Spatial: Rhinelander (Wis.),,,https://digital.library.wisc.edu/1711.dl/53XZY3CRNQ4P78C,19,"Rhinelander, WI, USA",45.644155,-89.400934,success
20,A lumbering we will go,,"Moody, Lewis Winfield, b. 1865?",,Voice| Loggers,Lumberjack song,,8/27/1940,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 85",,,,Spatial: Plainfield (Wis.),,,https://digital.library.wisc.edu/1711.dl/MYQMKLIK6QOTM8H,20,"Plainfield, WI, USA",44.213709,-89.494963,success
21,A witajze,"Hello, I'm back again","Pokora, Stasia",,Polish| Voice| Love,"Polish| This song is about a girl who resists marrying an old man with money. Her Martin finally returns, and she is happy.",,8/29/1946,Sound,Sound recording,,,pol,,,,,Spatial: Milwaukee (Wis.),,,https://digital.library.wisc.edu/1711.dl/QHJROR6EBRQHV86,21,"Milwaukee, WI, USA",43.063146,-87.948334,success
22,Aa kjoyra vatten aa knoyra ve,,"Lothe, Brithe, b. 1871?",,Norwegian| Vocal duet,"Norwegian| ""I can haul water, I can haul wood, but I want to haul my own girl.""",,8/10/1946,Sound,Sound recording,,,nor,,,,,Spatial: Milltown (Wis.),,,https://digital.library.wisc.edu/1711.dl/AM3L7LILM6C3U8L,22,"Milltown, WI, USA",45.526651,-92.499354,success
23,"Adieu me mere, je pars pour l'Italie","Adieu my mother, I start for Italy","Belisle, Ernest Joseph, b. 1901?",,French-Canadian| Voice| War,French-Canadian| Mr. Belisle learned this song from his Grandfather Belisle.| It is a song about a young man who is leaving for the army.,,8/8/1946,Sound,Sound recording,,,fre,,,,,Spatial: Somerset (Wis.),,,https://digital.library.wisc.edu/1711.dl/ZWHSQX4TM6WNG8V,23,"Somerset, WI, USA",45.130029,-92.676858,success
24,Aftensang,Evening song,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass",,Norwegian| Psalmodikon music,Norwegian folk instrument,,5/16/1941,Sound,Sound recording,,,,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/IGFJV2PYIPOUZ8Q,24,"Madison, WI, USA",43.081309,-89.395609,success
25,After the ball,,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",,"Accordion, clarinet, double bass, and violin| Dances",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).| This was recorded at Mr. Brusoe's insistance.,,8/14/1941,Sound,Sound recording,,,,,,,,Spatial: Rhinelander (Wis.),,,https://digital.library.wisc.edu/1711.dl/FJVT5G42CPHOW8D,25,"Rhinelander, WI, USA",45.644155,-89.400934,success
26,"Ah, si mon maine voulait danser",If my own top would dance for me,"Starr, Morton Hull, Mrs.",,French-Canadian| Voice| Play,Canadian French| Play song,,8/28/1946,Sound,Sound recording,,,fre,,,,,Spatial: Waukesha (Wis.),,,https://digital.library.wisc.edu/1711.dl/RB6BVRO5QAE7V8D,26,"Waukesha, WI, USA",43.02433,-88.244537,success
27,Ai am fy meiau i,,Cymanfa Ganu Congregation,,Welsh| Voice| Hymns,"Welsh hymn| Tune: Penpark (J.T. Rees, Mus. Doc.)| See C̢n a mawl #214.",,8/25/1940,Sound,Sound recording,,,wel,,,,,Spatial: Pickett (Wis.),,,https://digital.library.wisc.edu/1711.dl/TMCZ7BINC4KS68E,27,"Pickett, WI, USA",43.911389,-88.729722,success
28,Aime moi bien,Love me well,"La Grandeur, Donalda, b. 1894?",,French-Canadian| Voice| Love,"French-Canadian| Miss LaGrandeur learned this song from her mother, who was born in Quebec. She cannot recall all the words.| ""Aime moi bien, ton amour me fait vivre| Comme l'abeille au calice des fleurs| Ton doux regard, ton souffle qui m'anime| Cesse la la vie, cesse la touts les douleurs| Hmmmmmmm| Aime moi bien ton amour me fait vivre| Cesse, la, la vie, cesse la touts les douleurs.""",,8/8/1946,Sound,Sound recording,,,fre,,,,,Spatial: Somerset (Wis.),,,https://digital.library.wisc.edu/1711.dl/E7XK7OVDLUHGN8S,28,"Somerset, WI, USA",45.130029,-92.676858,success
29,Alec Brown,,"Moody, Lewis Winfield, b. 1865?",,Voice| Bawdy songs,Vulgar,,7/21/1941,Sound,Sound recording,,,eng,,,,,Spatial: Plainfield (Wis.),,,https://digital.library.wisc.edu/1711.dl/GGBMVPIQICDHB8E,29,"Plainfield, WI, USA",44.213709,-89.494963,success
30,All together,,"Lobdell, Hamilton, b. 1854?",,Voice,A song which used to be sung at the School Section picnics.,,6/24/1941,Sound| Text,Sound recording,,,eng,,,,,Spatial: Mukwonago (Wis.),,,https://digital.library.wisc.edu/1711.dl/YZJFSM436O5OI87,30,"Mukwonago, WI, USA",42.862336,-88.323693,success
31,Alphabet song,,"Moody, Lewis Winfield, b. 1865?",,Voice| Bawdy songs,Vulgar,,7/21/1941,Sound,Sound recording,,,eng,,,,,Spatial: Plainfield (Wis.),,,https://digital.library.wisc.edu/1711.dl/DJUVPXU3TEIGW8W,31,"Plainfield, WI, USA",44.213709,-89.494963,success
32,Alte Uhr,Old clock,"Huber, Hans, b. 1901?",,Bavarian| Zither,Bavarian,,9/4/1946,Sound,Sound recording,,,ger,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/6AEEG5YMI24H38K,32,"Madison, WI, USA",43.081309,-89.395609,success
33,Andulko,Annie,"Perry, Frances",,Bohemian| Voice,Bohemian folksong,,8/14/1946,Sound,Sound recording,,,cze,,,,,Spatial: Black River Falls (Wis.),,,https://digital.library.wisc.edu/1711.dl/T4SLQ2MZTSWJX84,33,"Black River Falls, WI, USA",44.300723,-90.843263,success
34,An einem Fluss daraus an Schuss,,"Steinbach, Martha, b. 1890?",,German| Voice,"German folk song| She learned the song when nine years old from her mother, who was born in Germany. She says the song is about 500 years old. She has never heard anyone else sing it. Great grandmother had been an ""Amme"" - nursemaid - who learned the song from her grandmother. Mrs. Steinbach's mother asked that she never let it die because it had been passed on from generation to generation. It is the story of an orphan child and a rich man who befriended her.",,8/12/1941,Sound,Sound recording,,,ger,,,,,Spatial: Wausau (Wis.),,,https://digital.library.wisc.edu/1711.dl/XQYBN6RJXEVFO85,34,"Wausau, WI, USA",44.963482,-89.639884,success
35,Ar ̫l gofidiau,It's peaceful in heaven,"Reese, William, b. 1858?| Phillips, Selina, b. 1875?",,Welsh| Voice| Hymns,"Tune - Y nefoedd (J. Mainzer), see C̢n a mawl #244.",,8/19/1940,Sound,Sound recording,,,wel,,,,,Spatial: Dodgeville (Wis.),,,https://digital.library.wisc.edu/1711.dl/7ZWKNWWYTXXRA9C,35,"Dodgeville, WI, USA",42.964713,-90.130774,success
36,As I went out walking one morning in spring,,"Moody, Lewis Winfield, b. 1865?",,Voice| Bawdy songs,Vulgar,,7/21/1941,Sound,Sound recording,,,eng,,,,,Spatial: Plainfield (Wis.),,,https://digital.library.wisc.edu/1711.dl/F6R6UP5RQ2WHS83,36,"Plainfield, WI, USA",44.213709,-89.494963,success
37,As long as the stomach fits into the vest,,"Taschek, Louis, b. 1897?",,Austrian| Voices,"Austrian| ""As long as the stomach fits into the vest, no work will be started. Raise high the wine, the fatherland should live.| Laura, Laura, when I see you, my heart goes like the fishes in the brook -""",,8/22/1946,Sound,Sound recording,,,ger,,,,,Spatial: Darlington (Wis.),,,https://digital.library.wisc.edu/1711.dl/4K2S5VW6KTEPI84,37,"Darlington, WI, USA",42.682928,-90.115182,success
38,As uz jury,I was vacationing across the ocean,"Aldakauskas, Mary| Hidde, Walter, Mrs.","Vanagaitis, Antanas: Composer",Lithuanian| Vocal duet,Lithuanian,,8/30/1946,Sound,Sound recording,,,lit,,,,,Spatial: Sheboygan (Wis.),,,https://digital.library.wisc.edu/1711.dl/OXKTQD667YLCI8C,38,"Sheboygan, WI, USA",43.756279,-87.723689,success
39,As Willie and Mary strolled by the seaside,,"Brown, Noble B., b. 1885?",,English| Voice,"English| Mr. Brown learned this song from his mother.| An additional verse not on the record is:| ""Oh do not despair, precious Mary,"" he said| As he clasped the fair maid in his arms.| To the church he repaired, it was not far away,| Was enriched by the loyal maid's charms.",,11/17/1946,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 141",,,,Spatial: Millville (Wis.),,,https://digital.library.wisc.edu/1711.dl/VAPWNLUMQKFYP8I,39,"Millville, WI, USA",43.01865,-90.93917,success
40,"Astri, mi Astri",,"Everson, Alice, b. 1891?",,Norwegian| Voice,Norwegian| Astri is the name of a girl.,,8/16/1946,Sound,Sound recording,,,nor,,,,,Spatial: Blair (Wis.),,,https://digital.library.wisc.edu/1711.dl/VCHDQNIS6ULP28I,40,"Blair, WI, USA",44.296263,-91.225443,success
41,Auguste tu n'est pas juste,,"Maes, Desire, b. 1873?",,French| Voice| Humorous songs,"Comic French folk song| About a wife complaining that there has been considerable change in his love-making since their first night, that he pays too much attention to his business and not enough to her.",,8/3/1941,Sound,Sound recording,,,fre,,,,,Spatial: Green Bay (Wis.),,,https://digital.library.wisc.edu/1711.dl/N6BHAMBXQKU4G8Y,41,"Green Bay, WI, USA",44.517447,-87.954553,success
42,Avondsgedachten,Evening thoughts,"Scholten, A. C. G. Gysbers, Mrs.",,Dutch| Voice,"Dutch folk song| Mrs. Scholten learned this when a child in singing school in Winterswyk, Holland.",,8/22/1940,Sound,Sound recording,,,dut,,,,,Spatial: Oostburg (Wis.),,,https://digital.library.wisc.edu/1711.dl/GCPK3OVI34TG68R,42,"Oostburg, WI, USA",43.623074,-87.789119,success
43,"Awake, arise, you drowsy sleeper",,"Coffee, Lester A., b. 1871?",,English| Voice,This is another old song that Mr. Coffee learned as a small boy.,,8/20/1946,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 159",,,,Spatial: Harvard (Ill.),,,https://digital.library.wisc.edu/1711.dl/CSYOUNKL4GYMU8C,43,"Harvard, IL, USA",42.420737,-88.613519,success
44,Baggage coach ahead,,"Gordon, Bessie, b. 1901?",,Voice and reed organ| Ballads,Sentimental ballad| Learned the song from her mother. Mrs. Gordon runs a crossroads tavern about eight feet square. She sings for her patrons and accompanies herself on a reed organ which she had cut down to fit under the bar.,,8/13/1941,Sound| Text,Sound recording,,,eng,,,,,Spatial: Schofield (Wis.),,,https://digital.library.wisc.edu/1711.dl/QHTUZKYNZ6CPG8X,44,"Schofield, WI, USA",44.918498,-89.609749,success
45,Banks of the Old Mohawk,,"Coffee, Lester A., b. 1871?",,Voice| Ballads| New England,New England ballad,,8/20/1946,Sound| Text,Sound recording,,,eng,,,,,Spatial: Harvard (Ill.),,,https://digital.library.wisc.edu/1711.dl/GWXLEVINIE4BX8Q,45,"Harvard, IL, USA",42.420737,-88.613519,success
46,Barbara polka,,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",,"Accordion, clarinet, double bass, and violin| Dances","Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).| [2 performances]: 1st cutting (fade out), good recording except polka was too long for space on record.",,8/14/1941,Sound,Sound recording,,,,,,,,Spatial: Rhinelander (Wis.),,,https://digital.library.wisc.edu/1711.dl/OUWAXHVXSXR6E8I,46,"Rhinelander, WI, USA",45.644155,-89.400934,success
47,Barker's call (recitation),,"Lobdell, Hamilton, b. 1854?",,Spoken,,,6/24/1941,Sound,Sound recording,,,eng,,,,,Spatial: Mukwonago (Wis.),,,https://digital.library.wisc.edu/1711.dl/TY46VZTIWR57E8V,47,"Mukwonago, WI, USA",42.862336,-88.323693,success
48,Baruska,Barbara,"Yansky, Joe",,Bohemian| Accordion and drums| Polkas| Dances,Bohemian polka| Accordion and drums. One man band.,,8/25/1946,Sound,Sound recording,,,,,,,,Spatial: Yuba (Wis.),,,https://digital.library.wisc.edu/1711.dl/GT4ZHP4R6Z2DR8J,48,"Yuba, WI, USA",43.535455,-90.426785,success
49,Be with us forever,,"Stacy, Stella: Vocals| Oestreich, Nancy: Announcer",,Voice and drum| Religious,"Peyote religious song| ""Be with us forever, don't ever let us go astray, take me into eternal life.""",,8/15/1946,Sound,Sound recording,,,,,,,,Spatial: Black River Falls (Wis.),,,https://digital.library.wisc.edu/1711.dl/ZWFLDSSZ3QT4J8O,49,"Black River Falls, WI, USA",44.300723,-90.843263,success
50,Beneath the linden tree (I saw my gentle mother),,"Borusky, Pearl Jacobs, b. 1901?",,Voice| Kentucky,Kentucky folk song,,7/26/1941,Sound,Sound recording,,,eng,"Treat, Asher E. ""Kentucky Folksong in Northern Wisconsin."" The Journal of American Folklore 52, no. 203 (1939): no. 13",,,,Spatial: Pearson (Wis.),,,https://digital.library.wisc.edu/1711.dl/OUJ37W5Y2VHGY8A,50,"Pearson, WI, USA",45.364167,-89.016389,success
51,Big brick house in a Georgia town,,"Moody, Lewis Winfield, b. 1865?",,Voice| Bawdy songs,Vulgar!!!!!!,,7/21/1941,Sound,Sound recording,,,eng,,,,,Spatial: Plainfield (Wis.),,,https://digital.library.wisc.edu/1711.dl/4MPMRRYW5V7YT8Z,51,"Plainfield, WI, USA",44.213709,-89.494963,success
52,Billy Vanero,,"Royce, Luther, b. 1913?",,Voice and guitar| Cowboys,"Cowboy song| [This song is] from a collection ""on old pieces of paper in hand writin'"" from his grandmother.",,8/1/1941,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 210",,,,Spatial: White Lake (Wis.),,,https://digital.library.wisc.edu/1711.dl/N7TF7ZO6TWCQW8V,52,"White Lake, WI, USA",45.160727,-88.772136,success
53,Birdies' ball,,"Fowler, James H., Mrs., b. 1872?",,Voice,American| This song is at least 100 years old. Mrs. Fowler's father sang it to her as a lullaby when she was a baby.,,8/23/1946,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 274",,,,Spatial: Lancaster (Wis.),,,https://digital.library.wisc.edu/1711.dl/AJBH4CEGRXQCG8N,53,"Lancaster, WI, USA",42.846347,-90.707772,success
54,Black sheep,,"Steinbach, Robert A., b. 1887?",,Voice,"Miscellaneous song| Biog. Worked in the woods eight years, Eau Claire River.",,7/25/1941,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 54",,,,Spatial: Wausau (Wis.),,,https://digital.library.wisc.edu/1711.dl/FZMDK3NWFYP768S,54,"Wausau, WI, USA",44.963482,-89.639884,success
55,Blushing rose,,"Whitt, Myrth, b. 1902?",,Voice| Love,Love song| Heard this song by relatives of her husband in Kentucky. Her first and only sweetheart sang it to her when she was sixteen. It was never heard anywhere else.,,7/28/1941,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 144",,,,Spatial: Crandon (Wis.),,,https://digital.library.wisc.edu/1711.dl/C3OHLSBOKGCZK8L,55,"Crandon, WI, USA",45.568712,-88.897293,success
56,Bob goes a gunning,,"Moody, Lewis Winfield, b. 1865?",,Voice| Bawdy songs,Vulgar!!!,,7/1/1941,Sound,Sound recording,,,eng,,,,,Spatial: Plainfield (Wis.),,,https://digital.library.wisc.edu/1711.dl/TUTD56MSP7Y4J86,56,"Plainfield, WI, USA",44.213709,-89.494963,success
57,Bohemul,,"Bohemian Band| Stanek, Otto: Clarinet| Stanek, Wencil: Clarinet| McGilvery, George: Cornet| Tydrich, William: Cornet| Stanek, Anton: Horn| Rott, Nick: Trombone| Rott, Martin: Baritone| Stanek, Alfred: Tuba",,Bohemian| Band| Funeral| Marches,"Funeral march| Bohemian| The band would precede the hearse at the funeral, marching from the church to the cemetery.| This is one of the numbers played by the band for the funeral of the uncle of one of the band members, Martin Rott, in 1932. The band marched for a mile and a half.",,8/25/1946,Sound,Sound recording,,,,,,,,Spatial: Yuba (Wis.),,,https://digital.library.wisc.edu/1711.dl/YHKTVNH7L4QU78J,57,"Yuba, WI, USA",43.535455,-90.426785,success
58,Bokje,Little goat,"Fennema, Andrew, Sr.",,Dutch| Voice,"Holland Dutch| Father bought a goat and started down the street. The police took the goat away. He called after the goat, ""Bokje, bokje,"" and the goat replied, ""Ba, ba, ba.""",,8/28/1946,Sound,Sound recording,,,dut,,,,,Spatial: Kenosha (Wis.),,,https://digital.library.wisc.edu/1711.dl/ISCMDS2YV2E6Z9C,58,"Kenosha, WI, USA",42.584327,-87.841871,success
59,Bold McIntyres,,"Moseley, Arthur (Happy), b. 1864?",,Irish| Voice,Wisconsin folk song| Mr. Moseley said he knew the McIntyre family.,,9/5/1940,Sound| Text,Sound recording,,,eng,,,,,Spatial: Black River Falls (Wis.),,,https://digital.library.wisc.edu/1711.dl/EHDCTQYFNY5AR9E,59,"Black River Falls, WI, USA",44.300723,-90.843263,success
60,"Bon soir, mes amis","Goodnight, my friends","La Grandeur, Donalda, b. 1894?",,French-Canadian| Voice,Canadian French,,8/9/1946,Sound,Sound recording,,,fre,,,,,Spatial: Somerset (Wis.),,,https://digital.library.wisc.edu/1711.dl/RIQYMNL52LHGF9D,60,"Somerset, WI, USA",45.130029,-92.676858,success
