ID_again,City,lat,lon,status,DC_Title,DC_Creator,DC_Description
54,"Wausau, WI, USA",44.963482,-89.639884,success,Black sheep,"Steinbach, Robert A., b. 1887?","Miscellaneous song| Biog. Worked in the woods eight years, Eau Claire River."
55,"Crandon, WI, USA",45.568712,-88.897293,success,Blushing rose,"Whitt, Myrth, b. 1902?",Love song| Heard this song by relatives of her husband in Kentucky. Her first and only sweetheart sang it to her when she was sixteen. It was never heard anywhere else.
56,"Plainfield, WI, USA",44.213709,-89.494963,success,Bob goes a gunning,"Moody, Lewis Winfield, b. 1865?",Vulgar!!!
57,"Yuba, WI, USA",43.535455,-90.426785,success,Bohemul,"Bohemian Band| Stanek, Otto: Clarinet| Stanek, Wencil: Clarinet| McGilvery, George: Cornet| Tydrich, William: Cornet| Stanek, Anton: Horn| Rott, Nick: Trombone| Rott, Martin: Baritone| Stanek, Alfred: Tuba","Funeral march| Bohemian| The band would precede the hearse at the funeral, marching from the church to the cemetery.| This is one of the numbers played by the band for the funeral of the uncle of one of the band members, Martin Rott, in 1932. The band marched for a mile and a half."
58,"Kenosha, WI, USA",42.584327,-87.841871,success,Bokje,"Fennema, Andrew, Sr.","Holland Dutch| Father bought a goat and started down the street. The police took the goat away. He called after the goat, ""Bokje, bokje,"" and the goat replied, ""Ba, ba, ba."""
59,"Black River Falls, WI, USA",44.300723,-90.843263,success,Bold McIntyres,"Moseley, Arthur (Happy), b. 1864?",Wisconsin folk song| Mr. Moseley said he knew the McIntyre family.
60,"Somerset, WI, USA",45.130029,-92.676858,success,"Bon soir, mes amis","La Grandeur, Donalda, b. 1894?",Canadian French
61,"Plainfield, WI, USA",44.213709,-89.494963,success,Boring for oil,"Moody, Lewis Winfield, b. 1865?",Vulgar ballad
62,"Milwaukee, WI, USA",43.063146,-87.948334,success,Bos ty jedyny,"Pokora, Stasia",Polish
63,"Madison, WI, USA",43.081309,-89.395609,success,Brave boys,"Bundy, Winifred, b. 1884?","A Civil War ballad| ""When I was around 8 years old,"" said Miss Bundy, ""which you can all realize was a good long time ago, although I am not saying how long, you will notice, I used to accompany my mother at the piano when she sang at the GAR encampments; as, of course, there were no scores of any kind for her songs and the accompaniment had to be made up as we went along. A great favorite of the old boys was the song 'Brave boys' - it certainly made them feel heroic, as I recall it."""
64,"Berlin, WI, USA",43.968582,-88.952344,success,Brennan on the moor,"Morgan, William Jacob, b. 1870?","Irish| This song has lived for 3 generations on this continent. William J. Morgan learned it from his father, James D. Morgan, who came from Manchester, England, when he was 12. James D. Morgan with his own father, first settled in Canada, and came to the U.S. to fight in the Civil War."
65,"Harvard, IL, USA",42.420737,-88.613519,success,Broken ring,"Coffee, Lester A., b. 1871?",Sentimental ballad| Mr. Coffee learned this song when he was a very small boy.
66,"Harvard, IL, USA",42.420737,-88.613519,success,Two orphans,"Coffee, Lester A., b. 1871?","Sentimental and historical ballad| Mr. Coffee sang this song from a scrap-book of the words of songs that were old when he was young. He has no record of the tune, but simply remembers it.| the chorus, ""Never forget those two orphans,"" is repeated after each verse."
67,"Black River Falls, WI, USA",44.300723,-90.843263,success,Buck billy goat,"Bowlen, Charley, b. 1873?","Irish brogue - Lumberjack| Mr. Bowlen thinks he is the only man in Wisconsin who knows this song. He sang it in the lumber camps.| He learned it in the woods, from a red-haired Irishman Sandy - when Bowlen was about 17. As Mr. Bowlen remarked, ""She lost the poor damned thing."""
68,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,Buffalo dance song #1,"Paytiamo, James, b. 1896?",Acoma dialect| From the Tusque Pueblo| James Paytiamo also known as Flaming Arrow
69,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,2nd Buffalo dance song #2,"Paytiamo, James, b. 1896?",Acoma dialect| From the Tusque Pueblo| James Paytiamo also known as Flaming Arrow
70,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,Buffalo feast song,"Yellow Thunder, Chief, b. 1872?","Winnebago| The Indians seek to understand life, the animals, and the birds, the very stillness, the rustling (of trees). If a beast should speak it would be no wonder to them. (The Virgin birth of Christ would be no more miracle to them than the ordinary birth of a child). The song relates to cooperation of animal life and human life. One understands that one must be sacrificed that the other may survive. In prayer to the great mystery they make these sentiments known.| Chief Thunder says he is taking perhaps more liberty than he should in singing this apart from the ceremony of which it is a feature (a religious ceremony). He sings it so that the song may survive."
71,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,Buffalo song,"Lewis, Phyllis, b. 1936?",Zuni
72,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,Buffalo song with drum,"Lewis, Phyllis, b. 1936?",Zuni| Phyllis sings and plays drum.
73,"Pickett, WI, USA",43.911389,-88.729722,success,"Bugail ""Hafod y Cwm""","Morgan, Moses, b. 1873?","Welsh folk song| The shepherd tells of his family: his wife, Gwen, and three children. They go to Nghapel Y Graig (stone church) where the scriptures are read. Then they return home.| Mr. Morgan's father didn't think the song was quite finished as it stood, so he added the last verse."
74,"Rhinelander, WI, USA",45.644155,-89.400934,success,Burno polka,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).
75,"Somerset, WI, USA",45.130029,-92.676858,success,C'est aujourdhui,"Belisle, Ernest Joseph, b. 1901?",Canadian French
76,"Somerset, WI, USA",45.130029,-92.676858,success,C'est dans le petit QuatrÃ¨ume Rang,"Vanasse, Adelord Joseph, b. 1877?","Canadian French| QuatrÃ¨ume Rang is in Deschambeau in Quebec.| A man was asked to be godfather. He had to find a godmother. He hitched up the old horse, but the cart broke down."
77,"Black River Falls, WI, USA",44.300723,-90.843263,success,Calumet song,"Thunder, Henry| Stacy, Stella",Winnebago| This song is for a contest dance.
79,"Waukesha, WI, USA",43.02433,-88.244537,success,Canadian errant,"Starr, Morton Hull, Mrs.",Canadian French| The wanderer longs for his old home.
80,"Lancaster, WI, USA",42.846347,-90.707772,success,Captain Jenks,"Muench, John, b. 1885?",Singing square-dance call| Accordion
81,"Mukwonago, WI, USA",42.862336,-88.323693,success,Catch the sunshine,"Lobdell, Hamilton, b. 1854?",
82,"Dodgeville, WI, USA",42.964713,-90.130774,success,Cawn esgyn o'r,"Reese,  William, b. 1858?| Phillips, Selina, b. 1875?","Tune - Crugybar (Welsh melody), see CÃ¢n a mawl #243."
83,"Rhinelander, WI, USA",45.644155,-89.400934,success,Celebrated opera reel,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).
84,"Somerset, WI, USA",45.130029,-92.676858,success,Pour bien aimer,"Belisle, Ernest Joseph, b. 1901?",Canadian French
85,"Green Bay, WI, USA",44.517447,-87.954553,success,Chapeau pointu,"Maes, Desire, b. 1873?",Belgian folk song| About a seamstress who rejects all marriage proposals for she is enjoying her needlework and sings in the cafes.
87,"Mukwonago, WI, USA",42.862336,-88.323693,success,Charming young widow,"Lobdell, Hamilton, b. 1854?",Ballad
88,"Plainfield, WI, USA",44.213709,-89.494963,success,Charming young widow I met on the train,"Moody, Lewis Winfield, b. 1865?",Miscellaneous song
89,"Linden, WI, USA",42.918516,-90.274171,success,Chase the buffalo,"Willis, Preston, b. 1882?","Early American dance-call| The dance starts with the boys and girls forming two lines, facing towards each other. Then the two leaders bow, etc."
90,"Somerset, WI, USA",45.130029,-92.676858,success,Chateau brillant,"Vanasse, Adelord Joseph, b. 1877?",Canadian French
91,"Millville, WI, USA",43.01865,-90.93917,success,Chicago gambler,"Brown, Noble B., b. 1885?",Lumberjack| Mr. Brown learned this song when he was a small boy. He thinks he learned it in the lumber camps.
92,"Chippewa Falls, WI, USA",44.933577,-91.388875,success,Chippewa Falls stories,"Cardinal, Charles, b. 1889?",Canadian French
93,"Verona, WI, USA",42.988199,-89.536182,success,Christiana waltz,"Garfoot, Vaughn, Mrs., b. 1921?",Norwegian (Accordion)| Mrs. Garfoot's father is Norwegian. She learned this melody from hearing her father play it on the mouth organ.
94,"Rhinelander, WI, USA",45.644155,-89.400934,success,Clarinet polka,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion","Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).| This polka is published but the group made their arrangement by ear from hearing Bob McLain, their blind clarinetist, play the melody."
95,"Madison, WI, USA",43.081309,-89.395609,success,Come and I will sing you,"Persons, John, b. 1859?| Stratman-Thomas, Helene","Cornish| This is an old Cornish song brought to southwest Wisconsin 100 years ago, which has survived in the minds of a few of the old people.| Miss Thomas learned the verses from Mrs. E.J. Vial (87) of Linden, Wisconsin, in the summer of 1945. Since Mrs. Vial is not well enough to sing, Miss Stratman-Thomas sings the part usually sung by the women, and Mr. Persons, the part sung by the men."
96,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,Contest dance song,"Sheka, Bernard, b. 1934?",Winnebago
97,"Crandon, WI, USA",45.568712,-88.897293,success,Conversation,"Spencer, Charlie, b. 1873?",Kentucky
98,"Crandon, WI, USA",45.568712,-88.897293,success,Conversation (Kentuckian),"Faulkner, Grant, b. 1870?",
100,"Madison, WI, USA",43.081309,-89.395609,success,Conversation about Mr. Merrick,"Dyer, Harry G., b. 1864?","Mr. Dyer was born at De Soto, Wis. 5/5/1864. Shipped on his first boat, the steamer Ruby, in 1881. Laid up his last boat, the steamer Juanita, 10/15/1902. Was a mate on nine different boats; linesman on 40 different boats.| Mr. Merrick, while he didn't actually work on the river for much more than six years, is quite an Mississippi riverman| authority on river lore."
102,"Stevens Point, WI, USA",44.51956,-89.573683,success,"Polish music (Mountain - Highlander), conversation and demonstration","Ciezczak, John, b. 1885?",Very precious folk music!
103,"Hayward, WI, USA",46.008889,-91.482601,success,Conversation between Mr. Charles Ring and Miss Helene Stratman-Thomas,"Ring, Charles, b. 1883?",Lumberjack
104,"Millville, WI, USA",43.01865,-90.93917,success,Conversation on the method of singing sea shanties,"Brown, Noble B., b. 1885?",Sea chanty
106,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,Corn grinding song,"Eagle, Margaret, b. 1906?",Scraping of feet indicates the sound of grinding corn. This is one of the few work songs.| Margaret Eagle also known as Laughing Eyes.
107,"Madison, WI, USA",43.081309,-89.395609,success,Cornish carol,"Persons, John, b. 1859?","Cornish| Cornish boys used to sing this in Survey Hollow near Dodgeville as late as 1876, when Mr. Persons was about 17. A carry over of the old Cornish carol, ""God bless the master of this house."" The Cornish first came to southwest Wisconsin between 1830-40."
108,"Madison, WI, USA",43.081309,-89.395609,success,Cornish story,"Persons, John, b. 1859?",Cornidh dialect
109,"Beloit, WI, USA",42.510674,-89.033751,success,Cosa chera nel fior,"Accardi, Joe, 1889-1956","Italian love song| This is a song of two lovers who are being separated, as the girl goes to America. As she gives him a flower before going on board, he sings of the flower and its meaning, - that wherever she goes there is happiness, and wherever she stepsm a beautiful flower will grow.| Italian songs in general are songs of romance, of country, or subtly humorous. They are never songs of morose tendencies, or of melancholy."
110,"Rice Lake, WI, USA",45.503769,-91.740829,success,Couderay jig,"Rindlisbacher, Otto, b. 1901?| Rindlisbacher, Otto, Mrs., b. 1901?",A lumberjack dance tune which was manufactured up at the Couderay lumbercamp.
111,"Black River Falls, WI, USA",44.300723,-90.843263,success,Cranberry song,"Perry, Frances",Wisconsin folk song| Incomplete. This song was composed by Barney Reynolds at Mather (heart of the cranberry country).
112,"Millville, WI, USA",43.01865,-90.93917,success,Crazy song,"Brown, Noble B., b. 1885?",Lumberjack| Mr. Brown learned this song in the lumber camps as a boy. The tune is a stock lumberjack tune (re: Little brown bulls).
113,"Crandon, WI, USA",45.568712,-88.897293,success,Crucifixion of Christ,"Spencer, Charlie, b. 1873?","Has been handed down through primitive Baptist church for 200 years. Very few have this song. The words and tune by a man named Harris, London, England."
114,"Pickett, WI, USA",43.911389,-88.729722,success,Cuckoo song,"Williams, John","Welsh air| Also known as Llwyn Onn.| A lovesick man sings to a cuckoo, asking it to take messages to his sweetheart.| This song was unearthed in Chicago and published by Dan Protheroe."
115,"Pickett, WI, USA",43.911389,-88.729722,success,"Cymer, Iesu, fi fel'r ydwyf",Cymanfa Ganu Congregation,"Welsh hymn| Tune: Bryn Calfaria (William Owen-Prysgol)| Found in CÃ¢n a mawl, #191."
117,"Belgium, WI, USA",43.500499,-87.845446,success,D'Graf,"Becker, Jacob C., b. 1872?","German melody| Mr. N.E. Becker, who helped to write the words to this song, came to Ozaukee County, Wisconsin, in 1854."
118,"Madison, WI, USA",43.081309,-89.395609,success,Da nije ljubavi nebi svjeta bilo| Vinca,"TamburiÄa Quartet| EliaÅ¡, Charles, Jr.: Berdo| EliaÅ¡, Martha: Contrasica| EliaÅ¡, Anne: Bugaria| Filipovich, Mary: Bisernica",Croatian drinking songs
119,"Brandon, WI, USA",43.736175,-88.781793,success,Daar kommt kleine Tomas aan,"Gysbers, Anna C., b. 1875?","Dutch| This song is about little Thomas, whom everybody calls a lovely child, so studious and good. The last lines say ""Everyone chooses him for a friend - I want to be like Thomas."""
120,"Brandon, WI, USA",43.736175,-88.781793,success,Daar ruischt longs de wolken,"Redeker, Will, Mrs.| Redeker, Matt, Mrs.","Dutch| ""I hear in the air, 'neath the canopy blue| Sweet notes of a Name most resplendent and true.| Know ye, know ye, whose name that is?"""
121,"Mukwonago, WI, USA",42.862336,-88.323693,success,Daisy Dean,"Lobdell, Hamilton, b. 1854?",Ballad
122,"Brandon, WI, USA",43.736175,-88.781793,success,"Daisy, Daisy","Kempers, Henry",Dutch
123,"Monroe, WI, USA",42.597234,-89.645995,success,Dan Doo,"Dietz, Charles, b. 1871?","English| Compare with John Jacob Niles' ""The wife wrapt in the Wether's skin.""| Mr. Dietz learned this song from his mother, who came from New York."
124,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,Dance song,"Eagle, Margaret, b. 1906?| Lewis, Phyllis, b. 1936?","Zuni| ""When the dance is over you must wait for me;| I will take you home on my barrow.| When the dance is over you must wait for me;| I will take you home in fliver.""|  Margaret Eagle also known as Laughing Eyes."
125,"Dyckesville, WI, USA",44.637035,-87.767163,success,Dance tune,"Boulanger, Emil, b. 1868?",Belgian
126,"Verona, WI, USA",42.988199,-89.536182,success,Danish waltz,"Garfoot, Vaughn, Mrs., b. 1921?","Norwegian (Accordion)| This is a favorite of the Norwegians around Mt. Horeb, Wisconsin."
